DRI Number,Project Name,Water Usage,County,Initial Info Form Submision Date,Cleaned Water Usage Data,Water Discharge Data,Cleaned Water Discharge Data,Contains 'data center'?,Current Status,Data Center?
3650,Mixed Use Development at Satellite Boulevard,0.23 mgd,Gwinnett,4/12/2022,0.23,0.23 mgd,0.23,0,Completed,TBD
3649,Tradeport East Expansion,0.02153 mgd,Liberty,4/11/2022,0.02153,0.02153 mgd,0.02153,0,Completed,TBD
3646,West Dallas LLC Materials Recovery Facility,No water data,Paulding,4/11/2022,No water data,No water data,No water data,0,Terminated,TBD
3645,QuikTrip 1746,0.002405 mgd,Coweta,4/5/2022,0.002405,0.001250 mgd,0.001250,0,Withdrawn,TBD
3643,Greenview Expansion,.022 mgd,Bartow,4/5/2022,.022,.0025 mgd,.0025,0,Completed,TBD
3641,Brooks Warnell Tract,+/- 0.031 mgd,Bryan,3/31/2022,+/- 0.031,+/- 0.031 mgd,+/- 0.031,0,Completed,TBD
3640,Camden Farms,"est 400,000",Whitfield,3/31/2022,"est 400,000","est 320,000","est 320,000",0,Completed,TBD
3637,Gordon Commerce Center,No water data,Gordon,9/29/2022,No water data,No water data,No water data,0,Completed,TBD
3628,Highway 74 Business Tech Park,0.009 mgd,Fayette,3/23/2022,0.009,0.009 mgd,0.009,0,Completed,TBD
3627,Statham Truck Stop,0.0575 mgd,Barrow,3/23/2022,0.0575,0.0575 mgd,0.0575,0,Completed,TBD
3625,THUNDER RIDGE,0.071 mgd,Dawson,3/18/2022,0.071,0.071,0.071,0,Completed,TBD
3622,Core5 at Palmetto Logistics Center,0.013 mgd,Fulton,3/16/2022,0.013,0.013mgd,0.013mgd,0,Completed,TBD
3621,Belwood Rd./South Calhoun Bypass Industrial,0.02 mgd,Gordon,3/14/2022,0.02,0.02 mgd,0.02,0,Completed,TBD
3620,H&H Timberlands,No water data,Monroe,3/11/2022,No water data,No water data,No water data,0,Initial Form Submitted,TBD
3619,Wayne Poultry Road Site,0.016 mgd,Jackson,3/11/2022,0.016,0.016 mgd,0.016,0,Completed,TBD
3618,North Georgia 400 Business Park,0.0213,Forsyth,3/15/2022,0.0213,0.0199,0.0199,0,Completed,TBD
3616,High Falls Logistics Park,0.0452 mgd,Spalding,3/4/2022,0.0452,0.18 mgd,0.18,0,Completed,TBD
3615,RWDC,0.1 mgd,Clarke,3/7/2022,0.1,0.1 mgd,0.1,0,Terminated,TBD
3614,Blue Creek,"based on 2,123 homes and 260 gpd/home, the estimated average annual day demand is 0.6 mid and the ma",Troup,2/25/2022,"based on 2,123 homes and 260 gpd/home, the estimated average annual day demand is 0.6 mid and the ma","0.9 mgd on average/month, 1.1 mgd on peak month.",0.9,0,Completed,TBD
3613,1359 Ellsworth,0.36 mgd,Fulton,3/1/2022,0.36,0.16 mgd,0.16,0,Completed,TBD
3612,Basic Ready Mix Emerson Plant,0.032 mgd,Bartow,2/24/2022,0.032,small amount,small amount,0,Completed,TBD
3610,Dyer Tract,0.055mgd,Greene,2/23/2022,0.055mgd,0.089 mgd,0.089,0,Withdrawn,TBD
3609,Windsor Park,0.186955 based on avg. daily water use in ga,Richmond,2/23/2022,0.186955 based on avg. daily water use in ga,0.12371 based on epa per person averages,0.12371 based on epa per person averages,0,Completed,TBD
3608,Stegall Village,No water data,Bartow,2/23/2022,No water data,No water data,No water data,0,Completed,TBD
3607,Bucksnort Road,0.015mgd,Butts,3/3/2022,0.015mgd,0.012mgd,0.012mgd,0,Completed,TBD
3606,Union Grove Seefried Logistics,0.02 mgd,Gordon,2/22/2022,0.02,0.02 mgd,0.02,0,Completed,TBD
3604,Rushing Tract PUD,0.11 mgd,Bulloch,2/18/2022,0.11,0.09 mgd,0.09,0,Completed,TBD
3603,"Emblem Riverside, Phase II","23,250",Douglas,2/18/2022,"23,250","23,250","23,250",0,Completed,TBD
3600,Goodson-Smiley PUD Layout,0.105 mgd,Liberty,2/17/2022,0.105,0.105 mgd,0.105,0,Completed,TBD
3599,Canebreak West,0.20 mgd,Paulding,2/17/2022,0.20,0.20 mgd,0.20,0,Completed,TBD
3596,Rivertowne Subdivision,0.28 mgd,Decatur,2/14/2022,0.28,0.27 mgd,0.27,0,Additional Form Submitted,TBD
3595,Industrial VI Enterprises - Coweta Airport Industrial Site,0.08 mgd,Coweta,2/14/2022,0.08,0.07 mgd,0.07,0,Completed,TBD
3594,Empire Hwy 306,0.10 mgd,Forsyth,2/14/2022,0.10,0.10 mgd,0.10,0,Completed,TBD
3593,Jackson Quarry by Vulcan Materials,No water data,Jackson,2/11/2022,No water data,0.000156 mgd,0.000156,0,Completed,TBD
3590,Grantville West,0.09 mgd,Coweta,2/7/2022,0.09,0.08 mgd,0.08,0,Completed,TBD
3589,Highway 5 Business Center,0.07 mgd,Douglas,1/31/2022,0.07,0.06 mgd,0.06,0,Completed,TBD
3588,Airabella at Lake Oconee,0.229mgd,Greene,2/23/2022,0.229mgd,0.217mgd,0.217mgd,0,Completed,TBD
3587,Water System Improvements to serve the Benjamin Hawkins Industrial Park,"0, project is adding supply to the system",Peach,2/14/2022,"0, project is adding supply to the system",0,0,0,Completed,TBD
3586,Moreland and Custer,0.1289,Fulton,1/27/2022,0.1289,0.16347,0.16347,0,Completed,TBD
3585,DSP Highway 280,+/- 0.005 mgd,Bryan,1/26/2022,+/- 0.005,+/- 0.005 mgd,+/- 0.005,0,Completed,TBD
3584,Stonecrest Logistics Center,0.042 mgd,DeKalb,1/27/2022,0.042,0.042 mgd,0.042,0,Completed,TBD
3582,North DeKalb Mall Redevelopment,0.68 mgd,DeKalb,1/24/2022,0.68,0.82 mgd,0.82,0,Completed,TBD
3578,Harris Trail Apartments,0.066 mgd,Bryan,1/24/2022,0.066,0.066 mgd,0.066,0,Completed,TBD
3577,Project B,No water data,Bartow,1/21/2022,No water data,No water data,No water data,0,Completed,TBD
3576,Microsoft Data Center Palmetto,0.656 mgd (peak),Fulton,1/13/2022,0.656,0.094 mgd (peak),0.094,1,Completed,TBD
3575,SR-9 COLEMAN TRACT,0.064 mgd,Dawson,1/13/2022,0.064,0.054 mgd,0.054,0,Completed,TBD
3573,PNK - Martins Bridge,0.46 mgd,Banks,1/11/2022,0.46,"0.40 mgd (75 gpd/1,000 sf)",0.40,0,Completed,TBD
3571,Hawks Ridge,2.1 mgd,Fulton,1/11/2022,2.1,0.14 mgd,0.14,0,Withdrawn,TBD
3570,Dal-Bloc Travel Center,0.009 mgd,Liberty,1/10/2022,0.009,0.008 mgd,0.008,0,Completed,TBD
3563,Georgia Square Mall Redevelopment,0.31,Clarke,1/6/2022,0.31,0.28,0.28,0,Completed,TBD
3560,Project Adventure,approximately 4.7 mgd,Morgan,1/3/2022,approximately 4.7,approximately 1.5 mgd,approximately 1.5,0,Completed,TBD
3559,IDI-Cartersville Ranch Business Park,0.01 mgd,Bartow,1/3/2022,0.01,0.01 mgd,0.01,0,Completed,TBD
3558,IDI/Gravel Springs Road,0.025 mgd,Gwinnett,1/3/2022,0.025,0.021 mgd,0.021,0,Completed,TBD
3557,Robertson Bridge Road Development,0.127,Barrow,12/29/2021,0.127,0.127,0.127,0,Completed,TBD
3556,Blitchton-Bryan Warehouse Development,"avg = 0.010 mgd, peak = 0.027 mgd",Bryan,12/28/2021,avg = 0.010,"avg = 0.010 mgd, peak = 0.030 mgd",avg = 0.010,0,Completed,TBD
3553,Jackson Farms Industrial Park,0.13 mgd,Jackson,12/23/2021,0.13,0.11 mgd,0.11,0,Completed,TBD
3551,Town Old Peachtree,~0.23 mgd,Gwinnett,1/5/2022,~0.23,~0.20 mgd,~0.20,0,Completed,TBD
3549,Coal Mountain Industrial Park,0.015 mgd,Forsyth,12/21/2021,0.015,0.014 mgd,0.014,0,Completed,TBD
3548,Southgate Subdivision,0.037,Decatur,12/20/2021,0.037,0.03,0.03,0,DRI Determination Made,TBD
3547,Coastal Empire Fairgrounds,0.15 mgd,Chatham,12/21/2021,0.15,0.15 mgd,0.15,0,Completed,TBD
3546,Plans of I-95 Exit 76 Interchange,0.01514,Liberty,12/20/2021,0.01514,0.01514,0.01514,0,Completed,TBD
3544,The Trails,.10 mgd at 5-year build-out,Douglas,12/17/2021,.10,.05 mgd at 5-year build-out,.05,0,Completed,TBD
3542,Emory Johns Creek Hospital Expansion,0.24 mgd,Fulton,12/10/2021,0.24,0.20 mgd,0.20,0,Completed,TBD
3541,Horseshoe Bend,0.159 mgd,Barrow,12/29/2021,0.159,0.159 mgd,0.159,0,Completed,TBD
3540,High Falls Road Truck Parking,0.08 mgd,Monroe,12/9/2021,0.08,0.08 mgd,0.08,0,Completed,TBD
3538,DK Morgan Park,0.022,Chatham,12/7/2021,0.022,0.022,0.022,0,Completed,TBD
3536,Friendship Business Park,0.118 mgd,Hall,12/1/2021,0.118,0.098 mgd,0.098,0,Completed,TBD
3535,Project Whiplash,0.58 mgd,Gwinnett,11/30/2021,0.58,0.48 mgd,0.48,0,Completed,TBD
3533,Forge Atlanta,0.41 mgd,Fulton,11/29/2021,0.41,0.34 mgpd,0.34,0,Completed,TBD
3532,The Hamilton,No water data,Troup,11/29/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3531,3670 Ocmulgee East Blvd Truck Parking,0,Bibb,11/24/2021,0,0,0,0,Completed,TBD
3530,Sasafras Residential Development,.672 mgd,Long,11/23/2021,.672,.5 mgd,.5,0,Completed,TBD
3529,Union Grove - North,0.025mgd,Gordon,11/17/2021,0.025mgd,0.025mgd,0.025mgd,0,Completed,TBD
3528,TradePoint 75,.046 mgd,Gordon,11/17/2021,.046,0.046 mgd,0.046,0,Completed,TBD
3527,Talmadge Property,No water data,Clayton,11/16/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3525,Lawrenceville Gateway,0.41418 mgd,Gwinnett,11/15/2021,0.41418,0.41418 mgd,0.41418,0,Completed,TBD
3523,"Douglas County Graduation, Multipurpose Arena","43,640",Douglas,11/15/2021,"43,640",.087 mgd peak. some days zero,.087,0,Completed,TBD
3519,The Lake at 20 West,phased project.,Haralson,11/12/2021,phased project.,phased,phased,0,Completed,TBD
3517,Falcon Parkway III,0.01 mgd,Hall,11/12/2021,0.01,0.01 mgd,0.01,0,Completed,TBD
3516,Truck Wash Development,unknown at this time,Coweta,11/11/2021,unknown at this time,0.03 mgpd,0.03,0,Withdrawn,TBD
3515,Strategic West Logistics Center IV - Douglas Hills,0.09mgd,Douglas,11/12/2021,0.09mgd,0.07mgd,0.07mgd,0,Completed,TBD
3514,Dabbs Bridge Road Development,0.44 mgd,Paulding,11/8/2021,0.44,0.33 mgd,0.33,0,Completed,TBD
3512,Pirkle Farms,0.23 mgd,Jackson,11/6/2021,0.23,0.23 mgd,0.23,0,Completed,TBD
3509,Union Grove - South,0.021 mgd,Gordon,11/4/2021,0.021,0.021mgd,0.021mgd,0,Completed,TBD
3508,Continuum Alpharetta,0.49 mgd,Fulton,11/2/2021,0.49,0.41 mgd,0.41,0,Completed,TBD
3507,Etowah Bluffs,0.38 mgd,Dawson,10/19/2021,0.38,0.35 mgd,0.35,0,Completed,TBD
3506,Sansone Speculative Industrial Development,.015 mgd,Henry,10/15/2021,.015,.015 mgd,.015,0,Completed,TBD
3505,Vineyard Senior Assisted & Independent Living Campus,.03345 mgd,Oconee,10/15/2021,.03345,.03345 mgd,.03345,0,Completed,TBD
3503,Prologis - Butts County,0.73 mgd,Butts,10/14/2021,0.73,0.038 mgd,0.038,0,Completed,TBD
3500,HWY 80 CONTAINER STORAGE FACILITY,No water data,Effingham,10/13/2021,No water data,No water data,No water data,0,Completed,TBD
3498,97.77 acre Zipperer Tract,0.0085 mgd,Effingham,10/13/2021,0.0085,0.0085 mgd,0.0085,0,Completed,TBD
3497,NS Logistics South,0.026895,Henry,10/13/2021,0.026895,0.02445,0.02445,0,Completed,TBD
3496,Rock House Road Site,No water data,Douglas,10/8/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3495,Minter Drive Mixed Use Development,1.345 mgd,Henry,10/8/2021,1.345,13.7 mgd,13.7,0,Completed,TBD
3494,"Buildings 1,2, 3 and a container yard at the former Norfolk Southern tract",+/-0.018 mgd,Chatham,10/8/2021,+/-0.018,+/-0.018 mgd,+/-0.018,0,Completed,TBD
3491,Ladds River Landing,0.25 mgd,Bartow,10/5/2021,0.25,0.25 mgd,0.25,0,Completed,TBD
3490,Grantville- Calico,0.10 mgd,Coweta,10/5/2021,0.10,0.025 mgd,0.025,0,Completed,TBD
3489,Project Revive,0.13 mgd,Fulton,10/6/2021,0.13,0.11 mgd,0.11,0,Completed,TBD
3488,Merrill Park,1.6,Fulton,11/10/2021,1.6,1.5,1.5,0,Completed,TBD
3487,"LaGrange River Mill, LLC",.3 mgd,Troup,10/14/2021,.3,.04 mgd,.04,0,Completed,TBD
3486,The Apex,.03,Tift,10/4/2021,.03,.03,.03,0,Completed,TBD
3481,Flat Creek Water Pollution Control Plant,this project will not be creating new water demand,Dawson,10/1/2021,this project will not be creating new water demand,"this project will not be creating new sewer demand, it will just increase the capacity to treat.","this project will not be creating new sewer demand, it will just increase the capacity to treat.",0,Completed,TBD
3479,Highway 411 at East Rome Mixed Use,.400 mgd,Floyd,9/29/2021,.400,.400 mgd,.400,0,Completed,TBD
3478,Vindicator Environmental & Industrial Park,No water data,Haralson,9/28/2021,No water data,No water data,No water data,0,Completed,TBD
3477,Lamar County Regional Solid Waste Authority Waste Complex Expansion,"<5,000 gallons per month",Lamar,9/27/2021,"<5,000 gallons per month",na,na,0,Completed,TBD
3476,Macon Plastics Renewal Facility,0.55 mgd (combined phase 1 & 2),Bibb,9/27/2021,0.55,0.32 mgd (combined phase 1 &2),0.32,0,Completed,TBD
3473,Brunswick Travel Center,"15,000 gpd",Glynn,9/22/2021,"15,000 gpd","15,000 gpd","15,000 gpd",0,Completed,TBD
3472,Old River Road Truck Stop,0.004325 mgd,Effingham,9/20/2021,0.004325,0.004325,0.004325,0,Completed,TBD
3471,Gainesville Township,0.4 mgd,Hall,9/24/2021,0.4,0.36 mgd,0.36,0,Completed,TBD
3470,DHL Warehouse,No water data,Fulton,9/17/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3469,Project Eco,0.48 mgd,Fulton,9/17/2021,0.48,0.40 mgd,0.40,0,Completed,TBD
3468,6405 Sugarloaf Parkway,~0.2mgd,Gwinnett,9/16/2021,~0.2mgd,~0.17mgd,~0.17mgd,0,Completed,TBD
3467,C & H Paving,"20,000 gallons a day",Warren,9/15/2021,"20,000 gallons a day",twenty gallons a day,twenty gallons a day,0,Completed,TBD
3466,Leblanc Tract,0.103,Dawson,9/10/2021,0.103,0.086,0.086,0,Completed,TBD
3465,Residential Development on SR 53 (Fairmount Highway),No water data,Gordon,9/10/2021,No water data,No water data,No water data,0,Completed,TBD
3464,Braselton Circuit Business Center,0.07 mgd,Jackson,9/9/2021,0.07,0.06 mgd,0.06,0,Terminated,TBD
3463,Microsoft CCO06 Data Center,No water data,Fulton,9/9/2021,No water data,No water data,No water data,1,Terminated,TBD
3462,Southern Gateway Manufacturing Facility,0.15,Bulloch,9/7/2021,0.15,0.15,0.15,0,Completed,TBD
3459,Terry's Truck Parking and Storage,0.0,Bibb,9/7/2021,0.0,0.0,0.0,0,Completed,TBD
3457,Lamar County Regional Solid Waste Authority Waste Complex,No water data,Lamar,9/15/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3456,Alan Scarbrough,No water data,Laurens,8/31/2021,No water data,No water data,No water data,0,DRI Determination Made,TBD
3450,Preserve at Honey Creek,"248,000 gallons per day",Rockdale,8/30/2021,"248,000 gallons per day","248,000 gallons per day","248,000 gallons per day",0,Completed,TBD
3433,Pleasant Valley Preserve,0.54,Floyd,8/25/2021,0.54,0.54,0.54,0,Completed,TBD
3431,Tranquil South,0.175 mgd,Liberty,8/23/2021,0.175,0.15 mgd,0.15,0,Completed,TBD
3430,Tranquil South,No water data,Liberty,8/23/2021,No water data,No water data,No water data,0,Terminated,TBD
3429,Tranquil South,No water data,Liberty,8/23/2021,No water data,No water data,No water data,0,Terminated,TBD
3428,Tranquil South,No water data,Liberty,8/23/2021,No water data,No water data,No water data,0,Terminated,TBD
3427,Davidson Tract,No water data,Forsyth,8/13/2021,No water data,No water data,No water data,0,Terminated,TBD
3426,FTY101,1.05 mgd,Douglas,8/10/2021,1.05,0.266 mgd,0.266,0,Completed,TBD
3425,FTY101,No water data,Douglas,8/10/2021,No water data,No water data,No water data,0,Terminated,TBD
3424,FTY101,No water data,Douglas,8/10/2021,No water data,No water data,No water data,0,Terminated,TBD
3420,Slater Mill Industrial,.0097,Douglas,8/5/2021,.0097,.0081,.0081,0,Terminated,TBD
3419,"Provident Partners 129, LLC",0.0004 mgd,Hall,8/3/2021,0.0004,na,na,0,Completed,TBD
3417,Hicks/McNamara/Lax Warehouse Project,0.018 mgd,Chatham,8/3/2021,0.018,0.018 mgd,0.018,0,Completed,TBD
3410,"Twin Pines Minerals, LLC Heavy Mineral Sands Mine",1.44 mgd maximum,Charlton,8/2/2021,1.44,in-ground septic systems,in-ground septic systems,0,Completed,TBD
3407,Northeast Georgia Medical Center Gainesville Campus Expansion,0.88 mgd average daily flow,Hall,7/30/2021,0.88,0.73 mgd average daily flow,0.73,0,Completed,TBD
3406,Warehouses,.01,Chatham,7/29/2021,.01,.01,.01,0,Completed,TBD
3404,Kennemore,0.12,Forsyth,7/28/2021,0.12,.10,.10,0,Completed,TBD
3403,Buice Lake South,0.18 (used 200 gallons/day/unit),Cherokee,7/22/2021,0.18 (used 200 gallons/day/unit),0.162 (used 220 gallon/day/unit),0.162 (used 220 gallon/day/unit),0,Completed,TBD
3402,Kicklighter-Hobbs Industrial Park,.055,Effingham,7/21/2021,.055,.055,.055,0,Completed,TBD
3401,McCormick-Exley Tract,+/ -0.017 mgd,Effingham,7/21/2021,+/ -0.017,+/ -0.017 mgd,+/ -0.017,0,Completed,TBD
3400,Motorplex Atlanta,0.1 mgd,Hall,7/21/2021,0.1,0.1 mgd,0.1,0,Completed,TBD
3399,Motorplex Atlanta,No water data,Hall,7/21/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3397,Cowan Property,0.01,Effingham,7/21/2021,0.01,0.01,0.01,0,Completed,TBD
3395,Sawnee Village,0.28 mgd,Forsyth,7/21/2021,0.28,0.23 mgd,0.23,0,Completed,TBD
3392,Commerce Business Center,0.21 mgd,Jackson,7/13/2021,0.21,0.18 mgd,0.18,0,Completed,TBD
3391,Commerce Business Center,No water data,Jackson,7/13/2021,No water data,No water data,No water data,0,Terminated,TBD
3388,Enclave at Hoschton,0.135 mgd,Jackson,7/13/2021,0.135,0.135 mgd,0.135,0,Terminated,TBD
3386,ECommerce/Manufacturing facility,0.005 mgd,Gordon,7/12/2021,0.005,0.005 mgd,0.005,0,Completed,TBD
3383,Mixed-Use Development at Peachtree/Wieuca,0.25 mgd,Fulton,7/9/2021,0.25,0.22 mgd,0.22,0,Completed,TBD
3382,Lamar Quarry,"<5,000 gallons per month",Lamar,7/9/2021,"<5,000 gallons per month","less than 3,000 gallons per month","less than 3,000 gallons per month",0,Completed,TBD
3381,Ila Road-Cheyenne Land Company,No water data,Jackson,7/9/2021,No water data,No water data,No water data,0,Terminated,TBD
3380,Foothills at Jasper Village,"1,875",Pickens,7/7/2021,"1,875","1,250","1,250",0,Completed,TBD
3378,Emory Graduate and Professional Housing,0.23 mgd,Fulton,7/9/2021,0.23,0.19 mgd,0.19,0,Completed,TBD
3377,Lake Oconee Helms College,"0.1495 millions of gallons per day (149,500 gallons per day)",Putnam,7/2/2021,"0.1495 millions of gallons per day (149,500 gallons per day)","0.13 millions of gallons per day (130,000 gallons per day)","0.13 millions of gallons per day (130,000 gallons per day)",0,Completed,TBD
3376,Bowen Road Logistics Center,0.017 mgd,Fulton,7/2/2021,0.017,0.017 mgd,0.017,0,Completed,TBD
3372,Worley Cross Roads,"30,000 per day",Pickens,6/21/2021,"30,000 per day",.00088,.00088,0,Completed,TBD
3371,Georgia Stone Products Adairsville,"less than 1,000 gallons per day",Bartow,6/21/2021,"less than 1,000 gallons per day","less than 1,000 gallons per day","less than 1,000 gallons per day",0,Completed,TBD
3370,Greystone at Oakland Expansion,"53,200",Lee,7/1/2021,"53,200","31,920","31,920",0,Additional Form Submitted,TBD
3368,Barrett 129,0.19,Hall,6/25/2021,0.19,0.19,0.19,0,Completed,TBD
3366,Rowen,approximately 0.9 mgd,Gwinnett,6/15/2021,approximately 0.9,approximately 0.8 mgd,approximately 0.8,0,Completed,TBD
3363,Meadowlands,ccrc-0.123 mgd/commercial-.039 mgd,Oconee,6/14/2021,ccrc-0.123,ccrc-0.123 mgd/commercial-0.039 mgd,ccrc-0.123,0,Withdrawn,TBD
3360,Wayne Poultry Industrial Complex,0.027 mgd,Jackson,6/11/2021,0.027,0.027 mgd,0.027,0,Completed,TBD
3359,Old Louisville Road Warehouses,0.006 mgd,Chatham,6/28/2021,0.006,0.006 mgd,0.006,0,Completed,TBD
3357,Hall Road & Hwy. 319 N,0.064,Thomas,6/24/2021,0.064,0.056,0.056,0,Additional Form Submitted,TBD
3356,Philadelphia Road Townhomes,.087 mgd,Pickens,6/9/2021,.087,.087 mgd,.087,0,Completed,TBD
3355,Project Tarpon,0.05 mgd,Barrow,6/9/2021,0.05,0.006 mgd,0.006,0,Completed,TBD
3354,Concord Road Light Industrial Development,approx. 0.02 mgd,Jackson,6/9/2021,approx. 0.02,approx. 0.0349 mgd,approx. 0.0349,0,Completed,TBD
3353,558 West Broad Street,0.1029,Clarke,6/8/2021,0.1029,0.1029,0.1029,0,Completed,TBD
3350,Project Paradise II,0.017 mgd,Barrow,6/8/2021,0.017,0.016 mgd,0.016,0,Completed,TBD
3348,Creekside Crossings,0.12,Gilmer,6/7/2021,0.12,No water data,No water data,0,Completed,TBD
3347,The Vineyard at Yukon,0.12,Gilmer,6/4/2021,0.12,No water data,No water data,0,Completed,TBD
3346,Cass White Business Center,0.01 mgd,Bartow,6/4/2021,0.01,0.01 mgd,0.01,0,Completed,TBD
3345,Building 1 and 2 and Container Yard,+/ -0.005 mgd,Chatham,6/4/2021,+/ -0.005,+/ -0.005 mgd,+/ -0.005,0,Completed,TBD
3341,White Road Site,0.05 mgd,Cobb,6/2/2021,0.05,0.04 mgd,0.04,0,Completed,TBD
3340,Mountain View Village,.075,Pickens,6/2/2021,.075,.075,.075,0,Completed,TBD
3339,Mountain View Village,.075,Jasper,5/27/2021,.075,.075,.075,0,Withdrawn,TBD
3338,Mountain View Village,No water data,Jasper,5/27/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3337,Mountain View Village,No water data,Jasper,5/27/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3336,Mountain View Village,No water data,Jasper,5/27/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3335,Mountain View Village,No water data,Jasper,5/27/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3334,Mountain View Village,No water data,Jasper,5/27/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3333,Mountain View Village,No water data,Jasper,5/27/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3332,Jasper mixed use,"18,750",Pickens,5/26/2021,"18,750","12,500","12,500",0,Completed,TBD
3331,Neely Farms,0.74 mgd,Newton,5/26/2021,0.74,0.74 mgd,0.74,0,Completed,TBD
3329,Commercial / Townhome Development,0.06,Bryan,5/21/2021,0.06,0.06,0.06,0,Completed,TBD
3325,Meadowlands,No water data,Oconee,5/19/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3324,Meadowlands,ccrc-0.123 mgd/commercial-.039 mgd,Oconee,5/19/2021,ccrc-0.123,ccrc-0.123 mgd/commercial-0.039 mgd,ccrc-0.123,0,Completed,TBD
3320,Del Webb Newnan - Pulte Home,0.35 mgd (400 gpd x 883 residences/1 million),Coweta,5/26/2021,0.35,0.35 mgd - (400 gpd x 883 residences/1million),0.35,0,Completed,TBD
3317,Northeast Georgia Medical Center,0.055 mgd,Lumpkin,5/10/2021,0.055,0.045 mgd,0.045,0,Completed,TBD
3316,Cresswind Kolter,150 mgd,Coweta,5/6/2021,150,150 mgd,150,0,Completed,TBD
3315,The Oaks Development,0.35 mgd,Newton,5/6/2021,0.35,0.3 mgd,0.3,0,Completed,TBD
3312,Covington Logistics Park,"building 1 - 0.006, total build out 0.04 mgd",Newton,5/3/2021,"building 1 - 0.006, total build out 0.04","building 1 - 0.006, total build out 0.04 mgd","building 1 - 0.006, total build out 0.04",0,Completed,TBD
3310,Wayne Poultry Industrial Complex,No water data,Jackson,5/3/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3309,Davidson Parkway Commerce Center,0.021,Henry,4/30/2021,0.021,0.021,0.021,0,Completed,TBD
3308,SPH-21 Industrial Park Phase II,0.032,Chatham,4/28/2021,0.032,0.032,0.032,0,Completed,TBD
3306,Broadstone @ Moreland,0.055,Fulton,4/26/2021,0.055,0.055,0.055,0,Completed,TBD
3305,Neely Farms,0.74 mgd,Newton,4/26/2021,0.74,0.74 mgd,0.74,0,Withdrawn,TBD
3304,RaceTrac - Emerson (Red Top),0.0014 mgd,Bartow,4/21/2021,0.0014,0.00167 mgd,0.00167,0,Completed,TBD
3303,RaceTrac truck plaza,"1,400 gallons/day",Lowndes,4/20/2021,"1,400 gallons/day","1,670 gallons/day","1,670 gallons/day",0,Terminated,TBD
3302,Solid Waste Disposal & Recycling Facility and Energy Plant,No water data,Effingham,4/16/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3301,Neely Farms,No water data,Newton,4/16/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3300,Solid Waste Disposal & Recycling Facility and Energy Plant,No water data,Effingham,4/16/2021,No water data,No water data,No water data,0,Withdrawn,TBD
3299,Englewood South,0.232 mgd,Fulton,5/17/2021,0.232,0.232,0.232,0,Completed,TBD
3298,Project Granite,0.43 mgd,Fulton,4/14/2021,0.43,0.35 mgd,0.35,1,Completed,TBD
3296,King David Retirement Community,0.177 mgd,Gwinnett,4/8/2021,0.177,0.187 mgd,0.187,0,Completed,TBD
3295,"Cagle Rd., LLC",0.00375 mgd,Hall,4/6/2021,0.00375,0.00375 mgd,0.00375,0,Completed,TBD
3293,Poplar Place Mixed-Use,0.3,Coweta,3/31/2021,0.3,0.3,0.3,0,Completed,TBD
3292,Chamblee Park,0.4 mgd,DeKalb,3/29/2021,0.4,0.4 mgd,0.4,0,Completed,TBD
3290,Sandtown Village,0.200 mgd,Fulton,3/29/2021,0.200,0.167 mgd,0.167,0,Completed,TBD
3286,Fowler Farm,0.132 mgd,Barrow,3/26/2021,0.132,0.132 mgd,0.132,0,Completed,TBD
3284,Southeast Gateway,0.010,Chatham,3/31/2021,0.010,0.006,0.006,0,Completed,TBD
3283,Davis Tract,No water data,Liberty,3/25/2021,No water data,No water data,No water data,0,Completed,TBD
3279,Thompson Mill Road Project,0.01 mgd,Gwinnett,3/24/2021,0.01,0.01 mgd,0.01,0,Completed,TBD
3275,Georgia International Rail Park,",075",Effingham,3/23/2021,",075",.075,.075,0,Completed,TBD
3274,Brown Road Project,0.016 mgd,Gwinnett,3/19/2021,0.016,0.016 mgd,0.016,0,Terminated,TBD
3272,Fischer Market Place,0.06 mgd,Coweta,3/16/2021,0.06,0.05 mgd,0.05,0,DRI Determination Made,TBD
3271,MSI Warehouse Facility,0.06,Chatham,3/11/2021,0.06,0.06,0.06,0,Completed,TBD
3270,SPH-21 Industrial Park,No water data,Chatham,3/10/2021,No water data,No water data,No water data,0,Completed,TBD
3269,Parker's #16 Truck Stop Expansion,0.001 mgd,Chatham,3/10/2021,0.001,0.001 mgd,0.001,0,Completed,TBD
3267,Junction Events,150,Walton,3/8/2021,150,1,1,0,Terminated,TBD
