DRI Number,Project info,County,Initial Info Form Submision Date,Current Status,Data Center?
3967,"[['Name of Proposed Project:', 'The Gathering at South Forsyth'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Bounded by Georgia Highway 400, Ronald Reagan Boulevard and Union Hill Road'], ['Brief Description of Project:', 'Approximately 84 acres of mixed-use with 2,400 residential units, 500 hotel rooms, 1,000,000 sq. ft. of office space, 600,000 sq. ft. of retail, a 20,000-seat arena, a 90,000 sq. ft. community center/ice rink and a 15,000 sq. ft. fire station'], ['Name of Proposed Project:', 'The Gathering at South Forsyth'], ['DRI ID Number:', '3967'], ['Developer/Applicant:', 'Gathering South Forsyth, LLC'], ['Telephone:', '470-222-0944'], ['Email(s):', 'gatheringatsouthforsyth@gmail.com'], ['Estimated Value at Build-Out:', 'Approximately $2,900,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Approximately $14,000,000 County and $28,000,000 State'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Forsyth County Department of Water & Sewer'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '2.07'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Forsyth County Department of Water & Sewer'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1.39'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Forsyth,4/18/2023,Completed,TBD
3966,"[['Name of Proposed Project:', 'Exley North'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Latitude: 32.244631\r\nLongitude: -81.206191'], ['Brief Description of Project:', 'Proposed project to entail industrial development on the Exley North property located off Hwy 21, just north of the Georgia International Trade Center (GITC) development. This will replace the multifamily residential development that was originally proposed (DRI 1864). Project to also entail commercial development along the Hwy 21 frontage.'], ['Name of Proposed Project:', 'Exley North'], ['DRI ID Number:', '3966'], ['Developer/Applicant:', 'T&T Exley, Atlantic Investors (agent)'], ['Telephone:', '912-658-4292'], ['Email(s):', 'murraymarshall@comcast.net'], ['Estimated Value at Build-Out:', '+/-900,000 SFx$100/SF = +/-$90 million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'TBD'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Effingham County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.03mgd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Effingham County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '88 ERUs'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Effingham,4/17/2023,Completed,TBD
3965,"[['Name of Proposed Project:', 'Poole Mountain'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'R2002 012, 2002 014, 2002 146, 2004 042, 2004 011, 2004 015, 2004 035, 3004 011A'], ['Brief Description of Project:', 'Rezoning to TND (Traditional Neighborhood Development District) for Single-Family detached and townhouses.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Gwinnett,4/14/2023,Withdrawn,TBD
3964,"[['Name of Proposed Project:', 'Green Meadows'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2900 Green Meadows Drive, Augusta, GA 30906'], ['Brief Description of Project:', 'Multi-family Development consisting of 1,001 apartment dwellings'], ['Name of Proposed Project:', 'Green Meadows'], ['DRI ID Number:', '3964'], ['Developer/Applicant:', 'Proterra Development, LLC'], ['Telephone:', '404 957 3207'], ['Email(s):', 'felipe@proterra.us'], ['Estimated Value at Build-Out:', '$168,085,440.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$1,882960.33'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Augusta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.249 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Augusta'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2988 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Richmond,5/9/2023,Completed,TBD
3961,"[['Name of Proposed Project:', 'Creekside Property Management LLC Parking Lot'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '611 Creekside Drive Gray GA 31032'], ['Brief Description of Project:', 'Commercial parking lot for campers, buses, RVs, commercial trucks, and other vehicles'], ['Name of Proposed Project:', 'Creekside Property Management LLC Parking Lot'], ['DRI ID Number:', '3961'], ['Developer/Applicant:', 'Creekside Property Management LLC'], ['Telephone:', '4782837065'], ['Email(s):', 'lafayette.stephens@gmail.com'], ['Estimated Value at Build-Out:', '$65,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$1,518'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Jones County Water System'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Individual Septic System'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jones,4/11/2023,Completed,TBD
3960,"[['Name of Proposed Project:', ""Seller's Mill Tributary""], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '1688 and 2512 Highway 53, Hoschton, GA; 285.52 acres on the east side of Highway 53; Map/Parcels 114'], ['Brief Description of Project:', 'Annexation and PUD (Planned Unit Development) District zoning for a mixed use project including approximately 200,000 square feet of commercial space with 6.6 acres of outparcels, church and 5.5 acres of church expansion, 404 townhouse units, 651 single-family lots and 3.6 acres of civic space'], ['Name of Proposed Project:', ""Seller's Mill Tributary""], ['DRI ID Number:', '3960'], ['Developer/Applicant:', 'Rocklyn Homes'], ['Telephone:', '404-427-6723'], ['Email(s):', 'tjenkins@rocklynhomes.com'], ['Estimated Value at Build-Out:', '526 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '20 Million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Hoschton'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.45 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Hoschton'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.45 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jackson,4/7/2023,Completed,TBD
3958,"[['Name of Proposed Project:', 'Macon Truck Parking'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2525 Pio Nono Ave Macon, Ga 31206'], ['Brief Description of Project:', 'Utilization of existing paved parking for semi truck parking'], ['Name of Proposed Project:', 'Macon Truck Parking'], ['DRI ID Number:', '3958'], ['Developer/Applicant:', 'Ultimate Realty LLC'], ['Telephone:', '2129241520 ext 402'], ['Email(s):', 'joe@ultimaterealtyllc.com'], ['Estimated Value at Build-Out:', '$200,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Unknown'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A (Zero MGD)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A (Zero MGD)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bibb,4/6/2023,Completed,TBD
3957,"[['Name of Proposed Project:', ""Vanguard Renewables on Schaapman Holstein's Dairy""], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '310 Chainaberry Lane, Abbeville, GA 31001\r\n31°54\'37.91""N, 83°23\'10.98""W'], ['Brief Description of Project:', ""Vanguard Organics, LLC, is an experienced developer, owner, and operator of anaerobic digesters on dairy farms across the United States, producing renewable energy and agricultural value-added products such as soil amendment, fertilizer, and animal bedding. Vanguard utilizes an approach called co-digestion, popular in Europe, which augments manure streams on medium-small dairies with alternative organics waste streams that would otherwise be sent to landfills or directly land applied, as an additional feedstock to the digestion system. The increased organic load in these added waste streams increases microbial activity in the digester, producing higher biogas production and improved nutrient quality in the digester by-product, called digestate. Vanguard is proposing to develop an anerobic codigestion system on the Schaapman Holsteins' dairy to manage their manure and produce value added agricultural by-products for use on""], ['Name of Proposed Project:', ""Vanguard Renewables on Schaapman Holstein's Dairy""], ['DRI ID Number:', '3957'], ['Developer/Applicant:', 'Vanguard Organics, LLC'], ['Telephone:', '(401)862-9088'], ['Email(s):', 'development@vanguardrenewables.com'], ['Estimated Value at Build-Out:', '$30 to $50Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Wilcox County discretion.'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Private well'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.008 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Local sewage disposal company'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '5,000-gallon septic tank'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Wilcox,4/10/2023,Completed,TBD
3955,"[['Name of Proposed Project:', 'Hawks Ridge'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '3500 Cascade Palmetto Hwy'], ['Brief Description of Project:', 'Multi-phase single family detached residential housing development.'], ['Name of Proposed Project:', 'Hawks Ridge'], ['DRI ID Number:', '3955'], ['Developer/Applicant:', 'Heritage Capitol Partners'], ['Telephone:', '404-310-8351'], ['Email(s):', 'jashkouti@heritagecpartners.com'], ['Estimated Value at Build-Out:', '$400k per lot'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '+ / - $1,800,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Atlanta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '2.1 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Fulton County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.14 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Fulton,4/3/2023,Completed,TBD
3953,"[['Name of Proposed Project:', 'Harvest Recycling'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '157 US Hwy 78, Monroe, Georgia   30655'], ['Brief Description of Project:', 'Harvest Recycling is a Green Co. focused on conservation & stewardship of discarded materials otherwise destined for landfill disposal.   This includes recycling, composting, materials recovery and waste transfer operations that will pursue unmet recycling opportunities by ""harvesting"" recyclable items that are currently destined for disposal at the landfill.'], ['Name of Proposed Project:', 'Harvest Recycling'], ['DRI ID Number:', '3953'], ['Developer/Applicant:', 'Harvest Recycling, LLC'], ['Telephone:', '706-207-0376'], ['Email(s):', 'sgarrett@rolloffsystems.com'], ['Estimated Value at Build-Out:', '$20,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$300,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Walton County Water Department'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '2500 gallons per day (.0025 MGD)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'On Site Septic'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'negligible'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Walton,3/28/2023,Completed,TBD
3952,"[['Name of Proposed Project:', 'Forsyth Truck Parking'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '946 Benson Ham Rd, Forsyth, GA 31029'], ['Brief Description of Project:', 'Offsite Commercial Truck Parking; fenced-in, gravel lot to be used for semi-truck parking'], ['Name of Proposed Project:', 'Forsyth Truck Parking'], ['DRI ID Number:', '3952'], ['Developer/Applicant:', 'Lorenzo Tafolla & Albert Velazquez'], ['Telephone:', '832-775-2858'], ['Email(s):', 'networking902@gmail.com'], ['Estimated Value at Build-Out:', '$1,060,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Unsure'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'N/A'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'N/A'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Monroe,4/10/2023,Completed,TBD
3951,"[['Name of Proposed Project:', ""Love's Travel Stop & Country Store""], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2319 Old Clyattville, Road, Valdosta, GA 31601'], ['Brief Description of Project:', 'The project includes construction of a convenience store with attached drive-thru restaurant, tire shop with attached truck was, 8 automobile fueling islands, and 8 diesel fuel bays.'], ['Name of Proposed Project:', ""Love's Travel Stop & Country Store""], ['DRI ID Number:', '3951'], ['Developer/Applicant:', ""Love's Travel Stops & Country Stores, Inc.""], ['Telephone:', '405-749-1749'], ['Email(s):', 'construction_utilities_permits@loves.com'], ['Estimated Value at Build-Out:', '$9,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$125,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Lowndes County Utilities Department'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Lowndes County Utility Department'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Lowndes,3/24/2023,Completed,TBD
3950,"[['Name of Proposed Project:', 'Ackerman-E. Hightower Trail'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '33.64355, -83.67972'], ['Brief Description of Project:', 'Proposed 1,223.040 SF cross-dock distribution facility located on an existing residential/agricultural site-98.6 acres total off East Hightower Train in Social Circle, Ga.  The parcel SC230013 was rezoned to Light Industrial in 2022. \r\nParcels SC230011 and SC230012 were already zoned Light Industrial.'], ['Name of Proposed Project:', 'Ackerman-E. Hightower Trail'], ['DRI ID Number:', '3950'], ['Developer/Applicant:', 'Baltisse-Ackerman Social Circle, LLLP'], ['Telephone:', '770-856-3211'], ['Email(s):', 'jeyre@ackermanco.net'], ['Estimated Value at Build-Out:', '$124,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$1,230,000.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Social Circle'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.015MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'The City of Social Circle'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.015MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Walton,3/23/2023,Completed,TBD
3949,"[['Name of Proposed Project:', 'Hwy 80 Warehouse'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2343 US Hwy 80'], ['Brief Description of Project:', 'Proposed warehouse on multiple parcels on Hwy 80'], ['Name of Proposed Project:', 'Hwy 80 Warehouse'], ['DRI ID Number:', '3949'], ['Developer/Applicant:', 'Randy Hadden, Jeremy Nease. Chuck Hildebrandt'], ['Telephone:', '912-658-5773'], ['Email(s):', 'kylehadden45@gmail.com'], ['Estimated Value at Build-Out:', '+/- $80 million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'TBD'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Private Well'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.08 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Private On-site Septic System'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.08 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Effingham,3/22/2023,Completed,TBD
3947,"[['Name of Proposed Project:', 'Bremen Logistics Center'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '33.68540605029581, -85.19217160576795'], ['Brief Description of Project:', 'Class A state of the art +/-1,000,000 SF industrial facility'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Haralson,3/16/2023,Completed,TBD
3945,"[['Name of Proposed Project:', 'Effingham Business Center'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Old Augusta Road south of Abercorn Road.\r\n32 15 9.98 N, 81 11 3.29 W'], ['Brief Description of Project:', 'Three warehouses totaling 1,072,200 SF and associated truck parking and truck dock access.'], ['Name of Proposed Project:', 'Effingham Business Center'], ['DRI ID Number:', '3945'], ['Developer/Applicant:', 'Cowan Investments, LLC'], ['Telephone:', '912-220-1100'], ['Email(s):', 'wynn@scmllc.net'], ['Estimated Value at Build-Out:', '$115,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$423,200'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Effingham County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Effingham County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Effingham,3/15/2023,Completed,TBD
3944,"[['Name of Proposed Project:', 'Archer Aviation'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '249 Williams Road, Covington GA  30014'], ['Brief Description of Project:', 'Proposed Aircraft Manufacturing Site. Proposed development to occur in 2 phases. Phase 1 consists of a 324,618 sf Production Building, and a 58,000 sf Flight Operations Building. Phase 2 will expand the Production Building by approximately 570,000 sf.'], ['Name of Proposed Project:', 'Archer Aviation'], ['DRI ID Number:', '3944'], ['Developer/Applicant:', 'Archer Aviation'], ['Telephone:', '806-223-8730'], ['Email(s):', 'glen.burks@archer.com'], ['Estimated Value at Build-Out:', '$65,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$1,196,770'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Oxford'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'Phase 1 20,000 GPD, Buildout 60,000 GPD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Oxford'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'Phase 1 20,000 GPD, Buildout 60,000 GPD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Newton,3/14/2023,Completed,TBD
3941,"[['Name of Proposed Project:', 'Commercial Truck Parking and Storage Lot'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '7431 Industrial Hwy\r\nMacon, GA 31216'], ['Brief Description of Project:', 'The development will consist of 8.57 acres.\r\nThe site is currently cleared and undeveloped grassland.\r\nThe proposed development will be a commercial parking facility for 215 spaces.\r\nZoning for the property is M-1.\r\nThe lot will be fenced, gated, and lighted for security.\r\nStormwater control will be provided on-site.\r\nWater quality measures are included on-site to meet development criteria.'], ['Name of Proposed Project:', 'Commercial Truck Parking and Storage Lot'], ['DRI ID Number:', '3941'], ['Developer/Applicant:', 'Dirk Maierhafer'], ['Telephone:', '602-309-3444'], ['Email(s):', 'golferm@bellsouth.net'], ['Estimated Value at Build-Out:', '$200,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$15,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A (private restroom & breakroom)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A (private restroom & breakroom)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bibb,3/14/2023,Completed,TBD
3940,"[['Name of Proposed Project:', 'Chastain Meadows'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '287 Chastain Road\r\nKennesaw GA 30144'], ['Brief Description of Project:', 'Proposed 372,400 SF of industrial warehouse space in three (3) buildings, 109 townhomes, 150 age-restricted multifamily units, 10,500 SF of office space and 39,890 SF of retail space on an approximately 57.28-acre site.'], ['Name of Proposed Project:', 'Chastain Meadows'], ['DRI ID Number:', '3940'], ['Developer/Applicant:', 'Strategic Real Estate Partners, LLC'], ['Telephone:', '(404) 836-4841'], ['Email(s):', 'jrwright@strategicrepartners.com'], ['Estimated Value at Build-Out:', 'Approx. $200,000,000 - $232,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Approx. $2,428,000 - $2,822,550'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Cobb County Water System'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.19 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Cobb County Water System'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.12 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Cobb,3/13/2023,Completed,TBD
3939,"[['Name of Proposed Project:', 'Rock House Road Site'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '1971 Rock House Road\r\nLithia Springs GA (Douglas County)'], ['Brief Description of Project:', 'The proposed development will consist of 898,000 SF of warehouse space in two buildings on an approximately 134-acre site located in unincorporated Douglas County. The site is proposed to be rezoned from R-A., PSP, and LI-R to LI.'], ['Name of Proposed Project:', 'Rock House Road Site'], ['DRI ID Number:', '3939'], ['Developer/Applicant:', 'Taylor and Mathis'], ['Telephone:', '404-259-8223'], ['Email(s):', 'mirby@taylortmathis.com'], ['Estimated Value at Build-Out:', '$105,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$450,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Douglasville-Douglas County Water Sewer Authority (DDCWSA)'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'DDCWSA'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Douglas,3/8/2023,Completed,TBD
